,Country,Code,CO2_pc,GDP_pc,logGDP_pc
1,Aruba,ABW,7.899890086,26401.96874,10.18119386
2,Angola,AGO,0.410522932,2401.233656,7.783737908
3,Albania,ALB,0.774724911,1243.605824,7.125770361
4,Andorra,AND,6.912053389,33923.98411,10.43187754
5,United Arab Emirates,ARE,28.31938861,63853.89076,11.0643528
6,Argentina,ARG,3.619280358,7157.328311,8.875892049
7,Armenia,ARM,1.692469568,948.1603061,6.854523587
8,Antigua and Barbuda,ATG,4.095236618,11107.90748,9.315412519
9,Australia,AUS,15.31776851,35033.38967,10.46405688
10,Austria,AUT,7.240734735,35045.84479,10.46441233
11,Azerbaijan,AZE,7.61863709,2360.6147,7.76667733
12,Belgium,BEL,11.14648251,33518.24318,10.41984514
13,Benin,BEN,0.168501162,835.2611143,6.727744388
14,Bulgaria,BGR,6.347137362,4086.269054,8.315387621
15,Bahrain,BHR,20.84167995,20178.52461,9.91237418
16,"Bahamas, The",BHS,6.961026805,26348.97302,10.17918458
17,Belarus,BLR,8.556931578,2763.530345,7.924264252
18,Belize,BLZ,1.830442972,3426.712788,8.13935671
19,Bermuda,BMU,7.885348579,74200.08865,11.21452062
20,Bolivia,BOL,0.929434346,1391.480124,7.238123297
21,Brazil,BRA,1.430744302,7791.757425,8.960821714
22,Barbados,BRB,3.710437224,12950.48044,9.468888166
23,Brunei Darussalam,BRN,19.03843121,37848.12925,10.54133683
24,Bhutan,BTN,0.40476431,794.1002878,6.67720976
25,Botswana,BWA,2.038486191,4313.864062,8.369589316
26,Canada,CAN,15.54314788,35249.45116,10.47020524
27,Switzerland,CHE,6.224236273,62244.79707,11.03883023
28,Chile,CHL,2.367010235,6879.779489,8.836341879
29,China,CHN,2.306095614,886.9094358,6.787742875
30,Cote d'Ivoire,CIV,0.319979027,1385.001572,7.233456554
31,Cameroon,CMR,0.222669165,1180.203312,7.073442001
32,"Congo, Rep.",COG,0.631796517,2999.88351,8.006328737
33,Colombia,COL,1.80257635,4559.326404,8.424930173
34,Comoros,COM,0.151234511,1355.821135,7.212162553
35,Cabo Verde,CPV,0.29892033,1018.164761,6.925757032
36,Costa Rica,CRI,1.153706048,5177.348246,8.552048283
37,Cuba,CUB,1.972102719,3289.055344,8.098355673
38,Cyprus,CYP,6.604723143,21374.89467,9.969972366
39,Czech Republic,CZE,13.3903072,12380.75234,9.423898315
40,Germany,DEU,11.06332025,34228.99847,10.44082847
41,Dominica,DMA,0.83170787,4658.685052,8.44648851
42,Denmark,DNK,10.5045545,45803.38994,10.73211338
43,Dominican Republic,DOM,1.474553011,2914.509193,7.977456712
44,Algeria,DZA,2.964986363,3423.095537,8.138300548
45,Ecuador,ECU,2.079173552,3778.496069,8.237081344
46,"Egypt, Arab Rep.",EGY,1.370058599,1574.501167,7.361693782
47,Spain,ESP,5.973836221,23127.67603,10.04878528
48,Finland,FIN,9.415521088,30027.03042,10.30985327
49,Fiji,FJI,1.004834318,2956.745625,7.991844491
50,France,FRA,6.217259025,33041.3621,10.40551545
51,"Micronesia, Fed. Sts.",FSM,0.976526053,2506.44815,7.82662195
52,Gabon,GAB,4.919427796,10868.35119,9.293610284
53,United Kingdom,GBR,9.660929998,28328.00256,10.25160608
54,Georgia,GEO,3.146690058,1583.982209,7.367697341
55,Ghana,GHA,0.239885479,842.3339929,6.736176602
56,"Gambia, The",GMB,0.192722937,823.5562667,6.713631874
57,Greece,GRC,7.260257729,19733.29037,9.890062355
58,Grenada,GRD,1.207677662,4753.170666,8.466567183
59,Greenland,GRL,5.901681736,26011.62756,10.16629893
60,Guatemala,GTM,0.630502129,2264.254452,7.725000823
61,Guyana,GUY,1.400960724,2565.654114,7.84996874
62,"Hong Kong SAR, China",HKG,5.705486596,20155.2034,9.911217767
63,Honduras,HND,0.586616185,1512.731584,7.321672292
64,Haiti,HTI,0.123243782,1283.725011,7.157521295
65,Hungary,HUN,5.824428958,8601.498018,9.059691655
66,Indonesia,IDN,1.079025844,1878.973044,7.538480653
67,Ireland,IRL,8.721211602,25292.80896,10.1382754
68,"Iran, Islamic Rep.",IRN,3.886820855,4582.33009,8.429962901
69,Iraq,IRQ,3.212133588,1845.249073,7.520369546
70,Iceland,ISL,6.967183412,29708.43633,10.29918634
71,Israel,ISR,8.352571345,21884.87401,9.993550993
72,Italy,ITA,7.404168932,31564.41613,10.35978569
73,Jamaica,JAM,3.134991623,4502.1144,8.412302432
74,Jordan,JOR,3.083742199,2725.627274,7.910453873
75,Japan,JPN,9.039672009,39488.39343,10.58376207
76,Kazakhstan,KAZ,15.9402826,4936.991251,8.504511366
77,Kenya,KEN,0.218779907,864.7870015,6.762483236
78,Kyrgyz Republic,KGZ,2.465564955,845.5749201,6.740016775
79,Kiribati,KIR,0.343324506,1644.09309,7.404944198
80,St. Kitts and Nevis,KNA,2.703546239,10040.48442,9.214380641
81,"Korea, Rep.",KOR,6.498142885,9793.862997,9.189511244
82,Lebanon,LBN,3.367630193,4767.121295,8.4694979
83,St. Lucia,LCA,1.06057421,7477.273149,8.919623452
84,Sri Lanka,LKA,0.292337505,1269.033731,7.146011048
85,Lesotho,LSO,0.890885016,702.4573181,6.554584642
86,Luxembourg,LUX,26.95725378,71003.67043,11.17048685
87,"Macao SAR, China",MAC,2.985736011,24006.01415,10.08605967
88,Morocco,MAR,0.995070398,1747.298302,7.465826047
89,Mexico,MEX,3.84378479,8104.291077,9.000148963
90,Marshall Islands,MHL,1.563752665,2746.865122,7.918215585
91,North Macedonia,MKD,5.550308022,3391.539296,8.129039167
92,Malta,MLT,5.76556643,12833.22169,9.459792532
93,Mongolia,MNG,4.911682442,1420.648044,7.258868416
94,Mauritania,MRT,0.45181913,1543.959027,7.342105193
95,Mauritius,MUS,1.575762997,4132.623685,8.326667759
96,Malaysia,MYS,3.962508083,5134.589452,8.543755168
97,Namibia,NAM,0.759044087,3834.51407,8.251797997
98,Nigeria,NGA,0.465396447,1504.327341,7.316101128
99,Nicaragua,NIC,0.548641177,1079.2058,6.983980679
100,Netherlands,NLD,11.00667577,36627.40782,10.50855209
101,Norway,NOR,7.467626804,63629.68868,11.06083544
102,New Zealand,NZL,7.10204151,23670.62416,10.07199007
103,Oman,OMN,6.044256596,15420.33447,9.643442338
104,Pakistan,PAK,0.639006501,788.0676442,6.669583929
