,Year,Code,CO2_per_capita,logEnergyUse_per_capita_Oil,Urbanization
1,1990,AUS,16.4714,10.00348047,16.49510827
2,1991,AUS,16.3981,9.956829748,16.50750285
3,1992,AUS,16.4538,9.966139896,16.5182541
4,1993,AUS,16.5495,9.985230527,16.52653546
5,1994,AUS,16.8601,10.00901586,16.53560454
6,1995,AUS,17.1189,10.07637116,16.54615472
7,1996,AUS,17.3911,10.09145768,16.55774864
8,1997,AUS,17.7901,10.09654876,16.5673893
9,1998,AUS,18.2222,10.08554353,16.57623897
10,1999,AUS,18.4477,10.09735732,16.58608889
11,2000,AUS,18.5252,10.08621967,16.59641027
12,2001,AUS,18.7789,10.07799242,16.60828988
13,2002,AUS,18.922,10.07792213,16.62194512
14,2003,AUS,19.0191,10.06278509,16.63572073
15,2004,AUS,19.4554,10.07354426,16.64873602
16,2005,AUS,19.2086,10.07421349,16.66334183
17,2006,AUS,19.3554,10.08785844,16.6794882
18,2007,AUS,19.2159,10.0942953,16.68717435
19,2008,AUS,19.2034,10.08725517,16.70864007
20,2009,AUS,18.4508,10.05095791,16.73066224
21,2010,AUS,18.2595,10.06220091,16.7476151
22,2011,AUS,17.9849,10.09711145,16.76289467
23,2012,AUS,17.5806,10.10691345,16.78154797
24,2013,AUS,16.907,10.12087685,16.79992973
25,2014,AUS,16.9201,10.10177449,16.81601428
26,2015,AUS,16.8507,10.07916895,16.83156229
27,2016,AUS,17.1434,10.06746935,16.84833619
28,2017,AUS,16.8704,10.10186314,16.86639282
29,2018,AUS,16.7081,10.10660297,16.88301032
30,2019,AUS,16.447,10.08468038,16.89952812
31,1990,BEL,12.0229,10.23605247,16.07792563
32,1991,BEL,12.2894,10.3025682,16.08251272
33,1992,BEL,12.1556,10.31859883,16.0874092
34,1993,BEL,12.0014,10.29817348,16.0921439
35,1994,BEL,12.2892,10.37801724,16.09603285
36,1995,BEL,12.3638,10.37135413,16.09892323
37,1996,BEL,12.6838,10.44890944,16.10164152
38,1997,BEL,12.127,10.471724,16.10481485
39,1998,BEL,12.7191,10.48419507,16.10769273
40,1999,BEL,12.1598,10.44874121,16.11069574
41,2000,BEL,12.3244,10.46216797,16.11378005
42,2001,BEL,12.2168,10.47376273,16.11780621
43,2002,BEL,12.2398,10.47350353,16.12285461
44,2003,BEL,12.3092,10.52361955,16.12760648
45,2004,BEL,12.2881,10.52984733,16.13248926
46,2005,BEL,11.9126,10.51803669,16.13853406
47,2006,BEL,11.6657,10.5079827,16.14565313
48,2007,BEL,11.2623,10.51060366,16.15351965
49,2008,BEL,11.1498,10.55081574,16.16193204
50,2009,BEL,9.9183,10.43765251,16.17046996
51,2010,BEL,10.4714,10.46592414,16.18009805
52,2011,BEL,9.5358,10.39308046,16.19358923
53,2012,BEL,9.2361,10.3477275,16.20026164
54,2013,BEL,9.2032,10.37063977,16.20543533
