,Year,Code,CO2_per_capita,logGDP_per_capita,Renew_energy
1,1990,BEL,12.0229,10.17023887,0.274796486
2,1991,BEL,12.2894,10.18208104,0.257479936
3,1992,BEL,12.1556,10.21489239,0.294191092
4,1993,BEL,12.0014,10.2171671,0.24665305
5,1994,BEL,12.2892,10.23906173,0.275914639
6,1995,BEL,12.3638,10.27712725,0.305119872
7,1996,BEL,12.6838,10.27177505,0.242720887
8,1997,BEL,12.127,10.31529122,0.25003463
9,1998,BEL,12.7191,10.3203939,0.316676646
10,1999,BEL,12.1598,10.36440928,0.360219121
11,2000,BEL,12.3244,10.42641941,0.433269054
12,2001,BEL,12.2168,10.42825882,0.449205279
13,2002,BEL,12.2398,10.45123989,0.479734927
14,2003,BEL,12.3092,10.48908867,0.486714542
15,2004,BEL,12.2881,10.50884067,0.606298923
16,2005,BEL,11.9126,10.61401225,0.866680205
17,2006,BEL,11.6657,10.57864446,1.209545016
18,2007,BEL,11.2623,10.60155777,1.41525197
19,2008,BEL,11.1498,10.67754607,1.764393568
20,2009,BEL,9.9183,10.63606238,2.521434784
21,2010,BEL,10.4714,10.70848716,3.099550724
22,2011,BEL,9.5358,10.6984155,4.045991421
23,2012,BEL,9.2361,10.70022896,5.060074806
24,2013,BEL,9.2032,10.69151096,5.382620335
25,2014,BEL,8.6325,10.69104598,6.05117321
26,2015,BEL,8.9525,10.66642555,6.661416531
27,2016,BEL,8.7959,10.67851631,6.357453823
28,2017,BEL,8.7084,10.71774993,6.910615921
29,2018,BEL,8.7289,10.69659985,7.41519022
30,2019,BEL,8.644,10.71084869,7.959382057
31,1990,FIN,11.4023,10.22169883,15.04462814
32,1991,FIN,11.004,10.1284516,16.64373207
33,1992,FIN,10.7602,10.08592727,18.36764717
34,1993,FIN,11.1101,10.07809576,17.72771263
35,1994,FIN,12.1071,10.13772032,15.91663837
36,1995,FIN,11.3577,10.24569341,17.85129547
37,1996,FIN,12.4697,10.24141185,15.46206665
38,1997,FIN,12.1744,10.32450326,17.17895317
39,1998,FIN,11.4963,10.40086259,20.30083466
40,1999,FIN,11.3781,10.44738856,17.99002457
41,2000,FIN,10.9944,10.48987828,19.70283318
42,2001,FIN,12.0251,10.49468937,17.71671486
43,2002,FIN,12.4794,10.48795648,16.26490402
44,2003,FIN,13.9002,10.50428756,14.59368134
45,2004,FIN,13.155,10.54738889,19.50920486
46,2005,FIN,10.8477,10.60992014,19.46372032
47,2006,FIN,12.9587,10.62719383,17.53488731
48,2007,FIN,12.6026,10.70728214,18.86909676
49,2008,FIN,11.0193,10.74081513,22.4277668
50,2009,FIN,10.4706,10.64974395,19.18045998
51,2010,FIN,11.9467,10.67978929,19.64714241
52,2011,FIN,10.5132,10.6936987,20.95550156
53,2012,FIN,9.461,10.67990921,24.97545242
54,2013,FIN,9.5106,10.63168581,22.6478653
55,2014,FIN,8.7239,10.62475781,24.72823334
56,2015,FIN,8.0506,10.63730926,28.13772202
57,2016,FIN,8.5907,10.65908309,26.58671951
58,2017,FIN,8.1018,10.68800885,28.70751381
59,2018,FIN,8.3021,10.69645478,28.64155388
60,2019,FIN,7.6907,10.71282792,29.21456146
61,1990,FRA,6.9352,10.20912953,6.222640991
62,1991,FRA,7.3292,10.20801401,6.266540527
63,1992,FRA,7.1216,10.22173242,7.399243832
64,1993,FRA,6.7573,10.21543867,6.968883514
65,1994,FRA,6.6165,10.23147159,8.563506126
66,1995,FRA,6.6776,10.24975863,7.823903084
67,1996,FRA,6.9365,10.26790807,6.882894039
68,1997,FRA,6.7887,10.31965163,6.803888798
69,1998,FRA,7.0821,10.3699858,6.47021389
70,1999,FRA,7.0105,10.41106127,7.388863087
71,2000,FRA,6.8779,10.46221717,6.744560719
72,2001,FRA,6.9132,10.48214538,7.405366898
73,2002,FRA,6.7891,10.48024729,6.175621033
74,2003,FRA,6.8371,10.44817883,5.962182045
75,2004,FRA,6.8066,10.46098503,5.97031498
76,2005,FRA,6.7984,10.53488754,5.365334034
77,2006,FRA,6.5968,10.55338969,5.969731808
78,2007,FRA,6.3913,10.59306358,6.63871336
79,2008,FRA,6.2369,10.59615097,7.632267475
80,2009,FRA,5.8941,10.55860499,7.706449986
81,2010,FRA,5.9888,10.594133,8.220292091
82,2011,FRA,5.5951,10.61688882,7.185517788
83,2012,FRA,5.5996,10.62458485,9.137363434
84,2013,FRA,5.5958,10.60978194,10.45943451
85,2014,FRA,5.0766,10.6070434,10.45927906
86,2015,FRA,5.1186,10.62128883,10.14739895
87,2016,FRA,5.1584,10.63070331,10.97524643
88,2017,FRA,5.1971,10.66473159,10.43726444
89,2018,FRA,4.9603,10.6734195,12.13249493
90,2019,FRA,4.8508,10.68636268,12.38490486
91,1990,DEU,13.3134,10.24353985,1.33694005
92,1991,DEU,12.759,10.29199057,1.270957708
93,1992,DEU,12.0792,10.3213542,1.520455122
94,1993,DEU,11.888,10.32618656,1.583544135
95,1994,DEU,11.6266,10.35963774,1.739633441
96,1995,DEU,11.5724,10.39116719,1.889189839
97,1996,DEU,11.7942,10.40249461,1.682394505
98,1997,DEU,11.4414,10.43402726,1.803516746
99,1998,DEU,11.3431,10.46782786,1.970564961
100,1999,DEU,11.0072,10.5075825,2.227585793
101,2000,DEU,11.0546,10.5264913,2.887111664
102,2001,DEU,11.2536,10.53930382,2.941167593
103,2002,DEU,11.0378,10.53476012,3.538631916
104,2003,DEU,11.0416,10.55790733,3.641989708
105,2004,DEU,10.865,10.58591823,4.516597748
106,2005,DEU,10.6209,10.63502807,5.208419323
107,2006,DEU,10.7806,10.65949288,6.026304722
108,2007,DEU,10.4779,10.71657433,7.653833389
109,2008,DEU,10.5461,10.74217401,7.817628384
110,2009,DEU,9.7688,10.67452233,8.4542799
111,2010,DEU,10.3053,10.72404541,8.792469025
112,2011,DEU,10.0082,10.77382029,10.5669651
113,2012,DEU,10.0526,10.76452349,11.89969921
114,2013,DEU,10.2428,10.7643125,12.06333542
115,2014,DEU,9.7309,10.79527909,13.27884674
116,2015,DEU,9.7278,10.7803006,14.82354355
117,2016,DEU,9.7415,10.80478314,14.6073122
118,2017,DEU,9.5076,10.84453582,16.19621277
119,2018,DEU,9.0721,10.84515235,17.0849514
120,2019,DEU,8.5184,10.8433169,18.76830482
121,1990,GRC,8.1582,9.784354523,1.822695136
122,1991,GRC,8.0853,9.836581463,3.145860434
123,1992,GRC,8.1556,9.843294149,2.20522666
124,1993,GRC,8.0025,9.85594757,2.292617559
125,1994,GRC,8.1205,9.898074113,2.551279545
126,1995,GRC,8.0945,9.924240328,3.326750278
127,1996,GRC,8.2285,9.947987389,3.991271973
128,1997,GRC,8.6025,10.02923534,3.469107628
129,1998,GRC,8.9918,10.08069837,3.158840179
130,1999,GRC,8.8828,10.09642644,3.964061975
131,2000,GRC,9.2942,10.14082099,3.28473258
132,2001,GRC,9.4648,10.17348858,2.296041012
133,2002,GRC,9.3917,10.20934047,2.783192158
134,2003,GRC,9.7238,10.21191573,4.297642231
135,2004,GRC,9.7505,10.25595998,4.29122591
136,2005,GRC,10.1499,10.27803687,4.600325584
137,2006,GRC,10.0554,10.35677117,5.321949959
138,2007,GRC,10.3047,10.36323502,3.113685846
139,2008,GRC,10.0654,10.39967766,3.987140179
140,2009,GRC,9.5221,10.37404933,5.843324661
141,2010,GRC,8.9424,10.3021276,7.824593067
142,2011,GRC,8.7311,10.20915031,6.159234047
143,2012,GRC,8.4806,10.17021291,8.102893829
144,2013,GRC,7.6101,10.17521908,12.09545135
145,2014,GRC,7.3506,10.16647863,10.85984707
146,2015,GRC,7.0322,10.1784922,13.00834465
147,2016,GRC,6.7236,10.15884931,13.22524548
148,2017,GRC,7.0822,10.18405343,14.01564503
149,2018,GRC,6.8244,10.18876957,13.4552269
150,2019,GRC,6.2764,10.21102718,13.69419384
151,1990,NLD,10.812,10.25530288,0.280620962
152,1991,NLD,11.2999,10.27948511,0.319147974
153,1992,NLD,11.2104,10.28758493,0.339999884
154,1993,NLD,11.1479,10.312443,0.374287486
155,1994,NLD,11.1124,10.3345703,0.426658183
156,1995,NLD,11.1393,10.37834284,0.456120133
157,1996,NLD,11.6591,10.41348575,0.563913107
158,1997,NLD,11.1459,10.47637792,0.636003613
159,1998,NLD,11.1436,10.5037946,0.726824641
160,1999,NLD,10.7314,10.57349731,0.794790864
161,2000,NLD,10.7424,10.65999998,0.925859272
162,2001,NLD,11.0007,10.66752399,0.988376498
163,2002,NLD,10.898,10.66576523,1.186346531
164,2003,NLD,11.0493,10.66168017,1.16350913
165,2004,NLD,11.1067,10.67576037,1.503125072
166,2005,NLD,10.8096,10.79840102,2.078050137
167,2006,NLD,10.4682,10.81983268,2.315083981
168,2007,NLD,10.4128,10.88290445,2.41742444
169,2008,NLD,10.5541,10.91956757,2.913216352
170,2009,NLD,10.197,10.82852033,3.430277824
171,2010,NLD,10.8816,10.83078935,3.213441372
172,2011,NLD,10.0531,10.85105034,3.81128931
173,2012,NLD,9.8084,10.87153596,3.963631392
174,2013,NLD,9.7773,10.91425317,3.94578886
175,2014,NLD,9.3333,10.86342935,3.978432417
176,2015,NLD,9.6939,10.85253036,4.503983974
177,2016,NLD,9.7122,10.84808893,4.676411152
178,2017,NLD,9.5533,10.90105316,5.489981651
179,2018,NLD,9.3215,10.91366291,5.991268158
180,2019,NLD,8.984,10.92538869,7.302987576
181,1990,SWE,6.6973,10.31893188,32.33545303
182,1991,SWE,6.6959,10.30817731,29.82609177
183,1992,SWE,6.6187,10.29403988,34.72596741
184,1993,SWE,6.578,10.25271399,35.32285309
185,1994,SWE,6.8195,10.30640598,28.22917747
186,1995,SWE,6.7238,10.36868548,32.06243134
187,1996,SWE,7.1508,10.39832769,25.26597404
188,1997,SWE,6.5681,10.43273703,32.55129242
189,1998,SWE,6.6196,10.47361106,32.49206924
190,1999,SWE,6.2951,10.52721954,32.13998413
191,2000,SWE,6.1599,10.59105079,38.59571075
192,2001,SWE,6.253,10.56130014,35.82845306
193,2002,SWE,6.3456,10.56322556,32.52216721
194,2003,SWE,6.3887,10.58715376,27.90148163
195,2004,SWE,6.2844,10.62906555,30.187603
196,2005,SWE,5.9616,10.66477641,34.73209
197,2006,SWE,5.9039,10.70108456,32.33127975
198,2007,SWE,5.7809,10.75907197,34.59902954
199,2008,SWE,5.5094,10.77601697,36.92847061
200,2009,SWE,5.0737,10.69934935,39.14199066
201,2010,SWE,5.6577,10.74326642,38.35144424
202,2011,SWE,5.2032,10.80711935,39.86112595
203,2012,SWE,4.9015,10.80215645,43.30573654
204,2013,SWE,4.7001,10.79273159,38.95484924
205,2014,SWE,4.4712,10.79329474,40.64850235
206,2015,SWE,4.4652,10.82186055,46.59962463
207,2016,SWE,4.3983,10.82944142,42.08269882
208,2017,SWE,4.3003,10.85962714,43.33944702
209,2018,SWE,4.2215,10.85464078,42.21850204
210,2019,SWE,4.0788,10.86729781,43.81376648
211,1990,CHE,6.6366,10.65168527,26.99221992
212,1991,CHE,6.8661,10.62775531,28.26373291
213,1992,CHE,6.7731,10.62365124,28.39473724
214,1993,CHE,6.3475,10.62764074,31.08303452
215,1994,CHE,6.1507,10.6455002,32.31832504
216,1995,CHE,6.2058,10.65502396,30.77135086
217,1996,CHE,6.2658,10.66263629,26.17920113
218,1997,CHE,6.0886,10.69920571,28.93255997
219,1998,CHE,6.2911,10.72581357,28.32665825
220,1999,CHE,6.2468,10.75671466,32.33128357
221,2000,CHE,6.1057,10.76623088,30.63875198
222,2001,CHE,6.2796,10.75851902,31.92898369
223,2002,CHE,6.0201,10.75629561,29.15733147
224,2003,CHE,6.1433,10.76883769,28.98333359
225,2004,CHE,6.1767,10.79862119,28.43650055
226,2005,CHE,6.1986,10.87335695,27.37746811
227,2006,CHE,6.0839,10.93224996,26.0491848
228,2007,CHE,5.754,11.02126688,29.71197701
229,2008,CHE,5.8658,11.08215613,29.24944115
230,2009,CHE,5.6436,11.05452982,28.93271065
231,2010,CHE,5.7691,11.07789225,29.88256836
232,2011,CHE,5.1834,11.16289081,28.44281769
233,2012,CHE,5.2765,11.18173767,31.85407829
234,2013,CHE,5.3257,11.1673105,30.98779678
235,2014,CHE,4.7808,11.18110104,32.27639008
236,2015,CHE,4.6682,11.17679386,33.16260147
237,2016,CHE,4.677,11.18512447,32.28740311
238,2017,CHE,4.5155,11.20673971,32.01477432
239,2018,CHE,4.3243,11.22017903,31.9508667
240,2019,CHE,4.2766,11.22921971,33.13739777
